BGP4MP|01/01/17 12:00:12|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe07::/48|6939 12654|IGP
BGP4MP|01/01/17 12:00:12|A|193.203.0.91|13237|84.205.78.0/24|13237 3257 2914 12654|IGP
BGP4MP|01/01/17 12:00:12|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe07::/48|13030 6939 12654|IGP
BGP4MP|01/01/17 12:00:12|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe07::/48|13030 6939 12654|IGP
BGP4MP|01/01/17 12:00:12|A|193.203.0.91|13237|84.205.78.0/24|13237 3257 2914 12654|IGP
BGP4MP|01/01/17 12:00:13|A|193.203.0.91|13237|200.7.156.0/24|13237 3257 19037 19037 19037 19037 19037 11664 52399 52399 52399 52399|IGP
BGP4MP|01/01/17 12:00:13|A|193.203.0.91|13237|200.7.156.0/24|13237 1299 2914 28513 11664 11664 52399 52399 52399 52399|IGP
BGP4MP|01/01/17 12:00:13|A|193.203.0.91|13237|103.76.200.0/23|13237 4761 9785 135480|IGP
BGP4MP|01/01/17 12:00:13|A|193.203.0.91|13237|103.76.200.0/22|13237 4761 9785 135480|IGP
BGP4MP|01/01/17 12:00:13|A|193.203.0.91|13237|103.76.202.0/23|13237 4761 9785 135480|IGP
BGP4MP|01/01/17 12:00:13|A|193.203.0.91|13237|200.7.156.0/24|13237 1299 2914 28513 11664 11664 52399 52399 52399 52399|IGP
BGP4MP|01/01/17 12:00:14|A|193.203.0.91|13237|200.7.156.0/24|13237 1299 19037 19037 19037 11664 52399 52399 52399 52399|IGP
BGP4MP|01/01/17 12:00:14|A|193.203.0.91|13237|200.7.156.0/24|13237 1299 2914 28513 11664 11664 52399 52399 52399 52399|IGP
BGP4MP|01/01/17 12:00:14|STATE|193.203.0.31|12635|2|3
BGP4MP|01/01/17 12:00:14|STATE|193.203.0.146|15598|2|3
BGP4MP|01/01/17 12:00:14|A|193.203.0.91|13237|200.7.156.0/24|13237 1299 19037 19037 19037 11664 52399 52399 52399 52399|IGP
